Reading training examples... (1250 examples) done
Training set properties: 500 features, 25 classes
Iter 211: *(NumConst=95, SV=68, CEps=2.7410, QPEps=1.2225)
Iter 212: *(NumConst=96, SV=68, CEps=1.8455, QPEps=0.8475)
Iter 213: *(NumConst=97, SV=66, CEps=2.5980, QPEps=0.8690)
Iter 214: *(NumConst=98, SV=66, CEps=2.3163, QPEps=0.8527)
Iter 215: *(NumConst=99, SV=67, CEps=1.8136, QPEps=0.7929)
Iter 216: *(NumConst=100, SV=65, CEps=2.2664, QPEps=0.8759)
Iter 217: *(NumConst=101, SV=65, CEps=2.5225, QPEps=0.8646)
Iter 218: *(NumConst=102, SV=66, CEps=1.9660, QPEps=0.8856)
Iter 219: *(NumConst=103, SV=66, CEps=1.8807, QPEps=0.8408)
Iter 220: *(NumConst=104, SV=66, CEps=2.0517, QPEps=0.8392)
Iter 221: *(NumConst=105, SV=66, CEps=1.6997, QPEps=0.8355)
Iter 222: *(NumConst=106, SV=66, CEps=1.3766, QPEps=0.6294)
Iter 223: *(NumConst=107, SV=66, CEps=1.3669, QPEps=0.6750)
Iter 224: *(NumConst=108, SV=65, CEps=1.2671, QPEps=0.6002)
Iter 225: *(NumConst=106, SV=66, CEps=1.2695, QPEps=0.6053)
Iter 226: *(NumConst=107, SV=67, CEps=1.2948, QPEps=0.6026)
Iter 227: *(NumConst=108, SV=67, CEps=1.2367, QPEps=0.5299)
Iter 228: .........*(NumConst=108, SV=67, CEps=4.5226, QPEps=2.0340)
Iter 229: *(NumConst=109, SV=68, CEps=5.7071, QPEps=2.2355)
Iter 230: *(NumConst=110, SV=67, CEps=5.4038, QPEps=2.2596)
Iter 231: *(NumConst=110, SV=69, CEps=4.7399, QPEps=2.2147)
Iter 232: *(NumConst=110, SV=69, CEps=4.6241, QPEps=2.1950)
Iter 233: *(NumConst=111, SV=70, CEps=4.9296, QPEps=2.1571)
Iter 234: *(NumConst=112, SV=70, CEps=3.2291, QPEps=1.2832)
Iter 235: *(NumConst=113, SV=70, CEps=3.1731, QPEps=1.4122)
Iter 236: *(NumConst=113, SV=71, CEps=4.0757, QPEps=1.5193)
Iter 237: *(NumConst=113, SV=72, CEps=2.8897, QPEps=1.3204)
Iter 238: *(NumConst=114, SV=73, CEps=2.8071, QPEps=1.2195)
Iter 239: *(NumConst=114, SV=74, CEps=2.7421, QPEps=1.2177)
Iter 240: *(NumConst=115, SV=74, CEps=2.2071, QPEps=0.9606)
Iter 241: *(NumConst=114, SV=75, CEps=2.3911, QPEps=1.0020)
Iter 242: *(NumConst=115, SV=76, CEps=2.2882, QPEps=1.0916)
Iter 243: *(NumConst=116, SV=77, CEps=2.1490, QPEps=0.9366)
Iter 244: *(NumConst=117, SV=77, CEps=2.1883, QPEps=1.0254)
Iter 245: *(NumConst=118, SV=78, CEps=2.1156, QPEps=0.8267)
Iter 246: *(NumConst=118, SV=79, CEps=1.7247, QPEps=0.8198)
Iter 247: *(NumConst=116, SV=80, CEps=1.6609, QPEps=0.7495)
Iter 248: *(NumConst=115, SV=81, CEps=1.4058, QPEps=0.6138)
Iter 249: *(NumConst=115, SV=82, CEps=1.5338, QPEps=0.6555)
Iter 250: *(NumConst=116, SV=81, CEps=1.5989, QPEps=0.6458)
Iter 251: *(NumConst=115, SV=82, CEps=1.3193, QPEps=0.6467)
Iter 252: *(NumConst=116, SV=83, CEps=1.5717, QPEps=0.6441)
Iter 253: *(NumConst=117, SV=84, CEps=1.3523, QPEps=0.6466)
Iter 254: *(NumConst=117, SV=85, CEps=1.4231, QPEps=0.6121)
Iter 255: *(NumConst=118, SV=86, CEps=1.2014, QPEps=0.5681)
Iter 256: *(NumConst=117, SV=85, CEps=1.1906, QPEps=0.5404)
Iter 257: *(NumConst=116, SV=85, CEps=1.0483, QPEps=0.5130)
Iter 258: *(NumConst=116, SV=86, CEps=0.9913, QPEps=0.4919)
Iter 259: *(NumConst=117, SV=86, CEps=1.0868, QPEps=0.4290)
Iter 260: *(NumConst=118, SV=86, CEps=0.8853, QPEps=0.4350)
Iter 261: *(NumConst=118, SV=86, CEps=0.9911, QPEps=0.4297)
Iter 262: *(NumConst=117, SV=87, CEps=0.8129, QPEps=0.4053)
Iter 263: *(NumConst=117, SV=87, CEps=0.7329, QPEps=0.3657)
Iter 264: *(NumConst=117, SV=87, CEps=0.7223, QPEps=0.3342)
Iter 265: *(NumConst=118, SV=88, CEps=0.8133, QPEps=0.3519)
Iter 266: *(NumConst=118, SV=89, CEps=0.8677, QPEps=0.3583)
Iter 267: *(NumConst=119, SV=90, CEps=0.6393, QPEps=0.3093)
Iter 268: *(NumConst=119, SV=89, CEps=0.6137, QPEps=0.3013)
Iter 269: *(NumConst=119, SV=90, CEps=0.6687, QPEps=0.2829)
Iter 270: *(NumConst=119, SV=90, CEps=0.5826, QPEps=0.2819)
Iter 271: *(NumConst=119, SV=90, CEps=0.5534, QPEps=0.2637)
Iter 272: *(NumConst=119, SV=90, CEps=0.6404, QPEps=0.2714)
Iter 273: *(NumConst=118, SV=91, CEps=0.5831, QPEps=0.2567)
Iter 274: *(NumConst=119, SV=91, CEps=0.6266, QPEps=0.2692)
Iter 275: *(NumConst=120, SV=92, CEps=0.6651, QPEps=0.2641)
Iter 276: *(NumConst=121, SV=93, CEps=0.5336, QPEps=0.2667)
Iter 277: *(NumConst=119, SV=93, CEps=0.6367, QPEps=0.2633)
Iter 278: *(NumConst=119, SV=94, CEps=0.5294, QPEps=0.2619)
Iter 279: .........*(NumConst=119, SV=96, CEps=1.4749, QPEps=0.7150)
Iter 280: *(NumConst=118, SV=99, CEps=1.9296, QPEps=0.6917)
Iter 281: *(NumConst=118, SV=98, CEps=2.3246, QPEps=0.7135)
Iter 282: *(NumConst=119, SV=96, CEps=1.9335, QPEps=0.6750)
Iter 283: *(NumConst=119, SV=97, CEps=1.4102, QPEps=0.6425)
Iter 284: *(NumConst=119, SV=96, CEps=1.4001, QPEps=0.5713)
Iter 285: *(NumConst=120, SV=96, CEps=1.2563, QPEps=0.6182)
Iter 286: *(NumConst=121, SV=98, CEps=1.5663, QPEps=0.6167)
Iter 287: *(NumConst=122, SV=98, CEps=1.2239, QPEps=0.5060)
Iter 288: *(NumConst=123, SV=101, CEps=1.0552, QPEps=0.4787)
Iter 289: *(NumConst=123, SV=101, CEps=1.1979, QPEps=0.5192)
Iter 290: *(NumConst=124, SV=102, CEps=1.1685, QPEps=0.4781)
Iter 291: *(NumConst=125, SV=104, CEps=1.1680, QPEps=0.4737)
Iter 292: *(NumConst=126, SV=103, CEps=1.1025, QPEps=0.4609)
Iter 293: *(NumConst=126, SV=105, CEps=0.6896, QPEps=0.3040)
Iter 294: *(NumConst=127, SV=105, CEps=0.8298, QPEps=0.3381)
Iter 295: *(NumConst=128, SV=105, CEps=0.8805, QPEps=0.2850)
